Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
30425 , 5.50 , 2.75 , 13 , 86.82
30468 , 9.63 , 2.75 , 24 , 86.82
30512 , 9.63 , -3.00 , 24 , 85.10
30556 , 9.63 , 3.00 , 24 , 86.90
30600 , 9.63 , 4.25 , 24 , 87.27
30644 , 9.63 , 4.25 , 24 , 87.27
30688 , 9.63 , 4.25 , 24 , 87.27
30732 , 9.63 , -1.25 , 24 , 85.62
30776 , 9.75 , 4.25 , 24 , 87.27
30820 , 9.63 , 4.50 , 24 , 87.35
30864 , 9.63 , 4.50 , 24 , 87.35
30908 , 9.63 , 4.50 , 24 , 87.35
30952 , 9.63 , -1.50 , 24 , 85.55
30996 , 9.00 , 2.75 , 22 , 86.82
31040 , 8.75 , 2.75 , 21 , 86.82
31084 , 9.63 , 2.75 , 24 , 86.82
31128 , 10.13 , 3.00 , 25 , 86.90
31172 , 9.63 , -3.00 , 24 , 85.10
31216 , 9.63 , 2.75 , 24 , 86.82
31260 , 9.63 , 2.75 , 24 , 86.82
31303 , 9.63 , 2.75 , 24 , 86.82
31347 , 9.63 , 2.75 , 24 , 86.82
31391 , 9.63 , -2.75 , 24 , 85.18
31435 , 9.75 , 4.50 , 24 , 87.35
31479 , 9.63 , 4.50 , 24 , 87.35
31523 , 9.63 , 4.25 , 24 , 87.27
31567 , 6.75 , 4.50 , 16 , 87.35
31611 , 9.50 , -1.00 , 23 , 85.70
31655 , 9.63 , 4.50 , 24 , 87.35
31699 , 9.63 , 4.50 , 24 , 87.35
31744 , 9.63 , 4.25 , 24 , 87.27
31788 , 6.63 , 4.25 , 16 , 87.27
31832 , 9.75 , -1.50 , 24 , 85.55
31876 , 8.88 , 2.75 , 22 , 86.82
31920 , 9.63 , 2.75 , 24 , 86.82
31964 , 9.63 , 2.75 , 24 , 86.82
32008 , 6.75 , 2.75 , 16 , 86.82
32052 , 9.63 , -2.75 , 24 , 85.18
32096 , 9.75 , 2.75 , 24 , 86.82
32140 , 9.63 , 2.75 , 24 , 86.82
32183 , 9.63 , 3.00 , 24 , 86.90
32227 , 6.63 , 2.75 , 16 , 86.82
32271 , 9.63 , -1.25 , 24 , 85.62
32315 , 9.63 , 4.50 , 24 , 87.35
32359 , 9.63 , 4.50 , 24 , 87.35
32403 , 9.63 , 4.50 , 24 , 87.35
32447 , 6.75 , 4.50 , 16 , 87.35
32491 , 9.63 , -1.25 , 24 , 85.62
32535 , 9.63 , 4.50 , 24 , 87.35
32579 , 9.63 , 4.50 , 24 , 87.35
32623 , 9.63 , 4.50 , 24 , 87.35
32667 , 6.75 , 4.50 , 16 , 87.35
32711 , 8.88 , -2.75 , 22 , 85.18
32755 , 9.63 , 2.75 , 24 , 86.82
32799 , 9.63 , 2.75 , 24 , 86.82
32843 , 9.63 , 2.75 , 24 , 86.82
38736 , 6.50 , 2.75 , 16 , 86.82
38780 , 8.88 , 2.75 , 22 , 86.82
38824 , 11.00 , 2.75 , 27 , 86.82
38868 , 8.50 , 2.75 , 21 , 86.82
38913 , 12.88 , 2.75 , 32 , 86.82
38957 , 13.38 , 2.75 , 33 , 86.82
39000 , 13.50 , 4.50 , 33 , 87.35
39044 , 16.50 , 4.50 , 41 , 87.35
39088 , 17.75 , 4.25 , 44 , 87.27
39132 , 21.75 , 4.25 , 54 , 87.27
39176 , 24.37 , 4.50 , 60 , 87.35
